run_id,input_scope,agent_mode,model_family,model_version,run_index,num_expected_cases,num_findings,tp_cases,partial_cases,fn_cases,tp_findings,partial_findings,fp_findings,precision,recall,partial_rate,fp_rate,fn_rate,wrong_localization_count,localization_error_rate,evidence_failure_count,evidence_failure_rate,insufficient_evidence_count,fabricated_evidence_count,unsupported_claim_count,overconfidence_count,overconfidence_rate,notes
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,4,1,0,1,3,0,1,0,,0.000000,0.250000,0.000000,0.750000,1,1.000000,1,1.000000,1,0,0,1,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,4,1,0,1,3,0,1,0,,0.000000,0.250000,0.000000,0.750000,1,1.000000,1,1.000000,1,0,0,1,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,4,1,0,1,3,0,1,0,,0.000000,0.250000,0.000000,0.750000,1,1.000000,1,1.000000,1,0,0,1,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,3,4,0,3,0,0,3,1,0.000000,0.000000,1.000000,0.250000,0.000000,4,1.000000,4,1.000000,4,0,0,4,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,3,4,0,3,0,0,4,0,,0.000000,1.000000,0.000000,0.000000,3,0.750000,4,1.000000,4,0,0,4,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,3,4,0,2,1,0,2,2,0.000000,0.000000,0.666667,0.500000,0.333333,3,0.750000,4,1.000000,3,0,1,4,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,5,3,1,0,4,1,0,2,0.333333,0.200000,0.000000,0.666667,0.800000,2,0.666667,2,0.666667,2,0,0,2,0.666667,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,5,2,1,0,4,1,0,1,0.500000,0.200000,0.000000,0.500000,0.800000,1,0.500000,1,0.500000,1,0,0,1,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,5,1,1,0,4,1,0,0,1.000000,0.200000,0.000000,0.000000,0.800000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_1,h19_access_control_fabric_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,2,3,1,0,1,1,0,2,0.333333,0.500000,0.000000,0.666667,0.500000,2,0.666667,2,0.666667,2,0,0,2,0.666667,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_2,h19_access_control_fabric_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,2,2,0,0,2,0,0,2,0.000000,0.000000,0.000000,1.000000,1.000000,2,1.000000,2,1.000000,2,0,0,2,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_access_control_fabric_scope__rep_3,h19_access_control_fabric_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,2,4,1,0,1,1,0,3,0.250000,0.500000,0.000000,0.750000,0.500000,3,0.750000,3,0.750000,3,0,0,3,0.750000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,7,2,2,0,5,2,0,0,1.000000,0.285714,0.000000,0.000000,0.714286,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,7,4,3,0,4,3,0,0,1.000000,0.428571,0.000000,0.000000,0.571429,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,7,2,2,0,5,2,0,0,1.000000,0.285714,0.000000,0.000000,0.714286,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,4,2,2,0,2,2,0,0,1.000000,0.500000,0.000000,0.000000,0.500000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,4,2,2,0,2,2,0,0,1.000000,0.500000,0.000000,0.000000,0.500000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,4,3,2,0,2,2,0,1,0.666667,0.500000,0.000000,0.333333,0.500000,1,0.333333,1,0.333333,1,0,0,1,0.333333,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,8,6,3,0,5,3,0,3,0.500000,0.375000,0.000000,0.500000,0.625000,3,0.500000,3,0.500000,3,0,0,3,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,8,3,0,2,6,0,2,1,0.000000,0.000000,0.250000,0.333333,0.750000,3,1.000000,3,1.000000,3,0,0,3,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,8,4,2,0,6,2,0,2,0.500000,0.250000,0.000000,0.500000,0.750000,2,0.500000,2,0.500000,2,0,0,2,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_1,h21_access_lock_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,7,4,0,1,6,0,1,3,0.000000,0.000000,0.142857,0.750000,0.857143,4,1.000000,3,0.750000,3,0,0,3,0.750000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_2,h21_access_lock_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,7,7,4,0,3,4,0,3,0.571429,0.571429,0.000000,0.428571,0.428571,3,0.428571,2,0.285714,2,0,0,2,0.285714,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_access_lock_scope__rep_3,h21_access_lock_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,7,4,1,0,6,1,0,3,0.250000,0.142857,0.000000,0.750000,0.857143,3,0.750000,3,0.750000,3,0,0,3,0.750000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,12,4,2,0,10,1,0,3,0.250000,0.166667,0.000000,0.750000,0.833333,3,0.750000,3,0.750000,3,0,0,3,0.750000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_2,h21_crypto_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,12,3,0,1,11,0,1,2,0.000000,0.000000,0.083333,0.666667,0.916667,3,1.000000,3,1.000000,3,0,0,3,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_crypto_security_scope__rep_3,h21_crypto_security_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,12,4,2,0,10,1,0,3,0.250000,0.166667,0.000000,0.750000,0.833333,3,0.750000,2,0.500000,2,0,0,2,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,1,3,5,1,0,2,1,0,4,0.200000,0.333333,0.000000,0.800000,0.666667,4,0.800000,4,0.800000,4,0,0,4,0.800000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,2,3,5,1,0,2,1,0,4,0.200000,0.333333,0.000000,0.800000,0.666667,4,0.800000,3,0.600000,3,0,0,3,0.600000,
baseline_hackatdac_deepseek_gpt_pilot_v1__deepseek_v4_pro__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,langchain_read_search,deepseek_v4_pro,deepseek-v4-pro,3,3,4,2,0,1,2,0,2,0.500000,0.666667,0.000000,0.500000,0.333333,2,0.500000,2,0.500000,2,0,0,2,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_1,h18_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,4,2,1,0,3,1,0,1,0.500000,0.250000,0.000000,0.500000,0.750000,1,0.500000,1,0.500000,1,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_2,h18_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,4,1,0,1,3,0,1,0,,0.000000,0.250000,0.000000,0.750000,1,1.000000,1,1.000000,1,0,0,1,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_debug_jtag_scope__rep_3,h18_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,4,1,1,0,3,1,0,0,1.000000,0.250000,0.000000,0.000000,0.750000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_1,h18_fc_core_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,3,3,2,0,1,2,0,1,0.666667,0.666667,0.000000,0.333333,0.333333,1,0.333333,1,0.333333,1,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_2,h18_fc_core_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,3,2,1,0,2,1,0,1,0.500000,0.333333,0.000000,0.500000,0.666667,1,0.500000,1,0.500000,1,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_fc_core_security_scope__rep_3,h18_fc_core_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,3,2,2,0,1,2,0,0,1.000000,0.666667,0.000000,0.000000,0.333333,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_1,h18_gpio_apb_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,5,2,2,2,1,2,0,0,1.000000,0.400000,0.400000,0.000000,0.200000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_2,h18_gpio_apb_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,5,1,0,1,4,0,1,0,,0.000000,0.200000,0.000000,0.800000,0,0.000000,1,1.000000,1,0,0,1,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h18_gpio_apb_scope__rep_3,h18_gpio_apb_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,5,1,0,0,5,0,0,1,0.000000,0.000000,0.000000,1.000000,1.000000,1,1.000000,1,1.000000,1,0,0,1,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_1,h19_access_control_fabric_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,2,3,1,0,1,1,0,2,0.333333,0.500000,0.000000,0.666667,0.500000,2,0.666667,2,0.666667,2,0,0,2,0.666667,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_2,h19_access_control_fabric_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,2,2,1,0,1,1,0,1,0.500000,0.500000,0.000000,0.500000,0.500000,1,0.500000,1,0.500000,1,0,0,1,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_access_control_fabric_scope__rep_3,h19_access_control_fabric_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,2,2,1,0,1,1,0,1,0.500000,0.500000,0.000000,0.500000,0.500000,1,0.500000,1,0.500000,1,0,0,1,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_1,h19_aes_rom2_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,7,2,2,0,5,2,0,0,1.000000,0.285714,0.000000,0.000000,0.714286,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_2,h19_aes_rom2_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,7,4,3,0,4,3,0,1,0.750000,0.428571,0.000000,0.250000,0.571429,1,0.250000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_aes_rom2_security_scope__rep_3,h19_aes_rom2_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,7,2,2,0,5,2,0,0,1.000000,0.285714,0.000000,0.000000,0.714286,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_1,h19_csr_privilege_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,4,2,2,0,2,2,0,0,1.000000,0.500000,0.000000,0.000000,0.500000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_2,h19_csr_privilege_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,4,2,2,0,2,2,0,0,1.000000,0.500000,0.000000,0.000000,0.500000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_csr_privilege_scope__rep_3,h19_csr_privilege_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,4,2,2,0,2,2,0,0,1.000000,0.500000,0.000000,0.000000,0.500000,0,0.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_1,h19_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,8,3,2,0,6,2,0,1,0.666667,0.250000,0.000000,0.333333,0.750000,1,0.333333,1,0.333333,1,0,0,1,0.333333,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_2,h19_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,8,4,3,1,4,3,1,0,1.000000,0.375000,0.125000,0.000000,0.500000,0,0.000000,1,0.250000,1,0,0,1,0.250000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h19_debug_jtag_scope__rep_3,h19_debug_jtag_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,8,3,2,0,6,2,0,1,0.666667,0.250000,0.000000,0.333333,0.750000,1,0.333333,1,0.333333,1,0,0,1,0.333333,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_1,h21_access_lock_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,7,4,2,0,5,2,0,2,0.500000,0.285714,0.000000,0.500000,0.714286,2,0.500000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_2,h21_access_lock_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,7,2,1,0,6,1,0,1,0.500000,0.142857,0.000000,0.500000,0.857143,1,0.500000,1,0.500000,1,0,0,1,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_access_lock_scope__rep_3,h21_access_lock_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,7,4,3,0,4,3,0,1,0.750000,0.428571,0.000000,0.250000,0.571429,1,0.250000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_crypto_security_scope__rep_1,h21_crypto_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,12,4,1,1,10,1,0,3,0.250000,0.083333,0.083333,0.750000,0.833333,3,0.750000,2,0.500000,2,0,0,2,0.500000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_crypto_security_scope__rep_2,h21_crypto_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,12,1,0,0,12,0,0,1,0.000000,0.000000,0.000000,1.000000,1.000000,1,1.000000,0,0.000000,0,0,0,0,0.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_crypto_security_scope__rep_3,h21_crypto_security_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,12,3,1,1,10,1,0,2,0.333333,0.083333,0.083333,0.666667,0.833333,2,0.666667,2,0.666667,2,0,0,2,0.666667,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_1,h21_dma_pkt_scope,langchain_read_search,gpt_5_5,gpt-5.5,1,3,4,1,1,1,1,1,2,0.333333,0.333333,0.333333,0.500000,0.333333,3,0.750000,3,0.750000,3,0,0,3,0.750000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_2,h21_dma_pkt_scope,langchain_read_search,gpt_5_5,gpt-5.5,2,3,3,0,1,2,0,1,2,0.000000,0.000000,0.333333,0.666667,0.666667,3,1.000000,3,1.000000,3,0,0,3,1.000000,
baseline_hackatdac_deepseek_gpt_pilot_v1__gpt_5_5__h21_dma_pkt_scope__rep_3,h21_dma_pkt_scope,langchain_read_search,gpt_5_5,gpt-5.5,3,3,3,0,1,2,0,1,2,0.000000,0.000000,0.333333,0.666667,0.666667,3,1.000000,3,1.000000,3,0,0,3,1.000000,
